"TCGA-A3-3320-01A-02R-1325-07"	"TCGA-A3-3323-01A-02R-1325-07"	"TCGA-A3-3326-01A-01R-0864-07"	"TCGA-A3-A6NJ-01A-12R-A33J-07"	"TCGA-A3-A8OU-01A-11R-A37O-07"	"TCGA-AS-3778-01A-01R-A32Z-07"	"TCGA-B0-5690-01A-11R-1541-07"	"TCGA-B4-5834-01A-11R-1672-07"	"TCGA-B4-5844-01A-11R-1672-07"	"TCGA-B8-A54K-01A-11R-A33J-07"	"TCGA-BP-4165-01A-02R-1289-07"	"TCGA-CW-6093-01A-11R-1672-07"	"TCGA-EU-5904-01A-11R-1672-07"	"TCGA-T7-A92I-01A-11R-A37O-07"
"EFS|10278"	74.3166	412.0482	45.7457	41.2165	79.2361	196.397	104.7965	124.9322	43.3614	983.5405	224.8299	39.5498	127.2009	11.6662
"EFTUD1|79631"	511.7226	623.6145	552.6075	501.4006	402.2755	523.4899	425.6348	667.4417	519.9599	472.9594	400.5879	594.5338	572.0446	667.0655
"EFTUD2|9343"	1351.9172	1711.5518	1925.892	1545.1421	1540.061	1682.946	1588.2709	1722.4738	1489.0574	1488.7471	1249.0029	1855.2058	1353.0147	1561.1367
"EGFL6|25975"	42.1127	4.3373	0.9149	0.8003	0.4063	7.4179	0.8061	11.7802	1.1312	0	0.5007	0	0.7186	1.1965
"EGFL7|51162"	993.7185	1736.8675	1565.4163	3018.8075	2818.3665	2227.1282	4655.784	2151.7477	1266.9074	1455.1562	3109.5633	1953.6977	2824.2903	102.6025
"EGFL8|80864"	68.5588	150.0193	127.4291	104.3377	171.9098	187.1741	55.3809	33.6139	40.8125	187.4101	175.3073	56.492	77.5674	53.7511
"EGFLAM|133584"	148.2792	333.9759	184.8124	237.2949	227.9561	95.7259	201.5316	104.4718	570.4854	85.9926	95.6404	304.5016	197.2691	18.2471
"EGFR|1956"	2779.0533	4491.5036	2331.7749	2415.7423	1946.668	2305.1784	2714.1274	2174.6819	3086.4014	2822.806	785.5979	3873.5949	1993.4819	1919.5184
"EGF|1950"	29.3727	76.1446	64.0439	479.3918	209.2645	20.8407	150.3426	26.9705	131.5925	0.4479	108.6595	154.6624	14.0137	18.5462
"EGLN1|54583"	3852.0747	2955.6627	2402.5618	3126.0504	3354.7338	2725.8919	2524.3853	3665.8142	3674.7856	2154.7419	2093.5723	4173.6334	3049.5868	2506.7305
"EGLN2|112398"	899.7151	857.6771	1066.6514	1484.1937	1327.4604	1225.3055	1363.0069	1123.0536	882.3105	1014.574	1205.2687	983.0386	1160.9774	1328.1484
"EGLN3|112399"	13940.0159	9080.9639	13290.9424	16743.0972	14674.1162	10179.4419	7852.8819	9490.1961	18867.8712	13479.3416	19101.0308	14561.4148	14466.0438	8.6748
"EGOT|100126791"	549.5886	59.2771	104.3001	141.2565	168.6306	132.1088	166.8682	111.2919	224.3482	83.7532	349.5129	407.717	150.557	19.1445
"EGR1|1958"	19740.5998	1000.4819	3501.3724	5426.1705	46070.7192	4966.7962	8913.3414	24283.655	811.8011	1845.2581	3621.815	3426.6881	107351.06	3033.802
"EGR2|1959"	199.593	65.5422	58.5544	310.124	3742.7875	63.2285	270.8585	232.8141	24.1316	45.6836	136.1999	133.119	1162.0553	309.9013
"EGR3|1960"	444.8377	80	50.3202	482.9932	4287.2816	96.4324	445.788	89.2816	82.9523	46.5793	142.2087	947.2669	745.239	201.6153
"EGR4|1961"	0.3539	0	0	16.0064	75.9854	0.3532	0.8061	0.31	0	0	1.0015	0.6431	4.6712	1.1965
"EHBP1L1|254102"	1392.9045	2015.4217	1936.871	1692.2769	1921.1703	1274.8146	1486.9004	961.0168	1145.1184	770.7983	1149.6872	1163.6656	1096.6583	446.0066
"EHBP1|23301"	2722.4454	1401.9277	1553.5224	1460.9364	1553.7871	1186.8598	1101.1568	1801.1222	2326.0533	902.4073	1225.6587	1796.4502	2766.7948	1349.665
"EHD1|10938"	1424.7545	1271.8072	2019.2132	3619.8479	2648.5169	2405.1572	1812.1725	1606.7581	1728.8007	930.243	2587.2969	2308.3601	1699.6047	1815.1361
"EHD2|30846"	6066.3541	11077.1084	9499.5425	6489.7959	8716.7818	12527.0223	11861.7493	8539.7194	11539.4151	8273.2057	12094.749	9158.5209	8637.8009	178.5821
"EHD3|30845"	403.4327	598.5542	562.6715	510.2041	678.1796	844.5779	840.79	810.6642	580.6659	577.7628	719.5559	689.7106	610.133	294.0473
"EHD4|30844"	1318.588	1539.2771	1488.5636	2321.3285	1770.4185	2020.8407	5355.5018	4314.6555	3112.2184	1597.5815	2031.9819	4041.1576	3254.4017	641.3401
"EHF|26298"	1.0617	7.2289	19.2132	4.0016	8.1268	1.4129	1.6123	0.93	0	933.3781	1.5022	1.6077	0.7186	3.8887
"EHHADH|1962"	6900.4512	2491.0843	3603.8426	3387.7551	2615.1971	3248.6754	3026.1991	4352.1662	3166.5144	848.2813	3025.9406	3174.2765	5386.2738	4396.3506
"EHMT1|79813"	800.4954	898.3133	898.4446	990.3962	891.9139	1037.7958	1045.1431	805.0841	907.9503	904.266	963.9145	930.5466	836.5074	1031.1098
"EHMT2|10919"	934.6191	1299.759	1390.6679	844.7379	1305.9732	1144.8252	1232.1644	1215.8413	877.4088	1577.8748	1255.8429	961.7363	951.1319	1368.8304
"EI24|9538"	2029.5497	2113.253	1628.5453	1938.3754	2177.1638	1772.1653	1804.5143	2047.2758	2167.3166	1675.9601	2306.3846	2382.3151	1689.5437	2151.6602
"EID1|23741"	3829.4258	3469.8795	4038.4263	4707.8832	5037.3832	4775.3444	4936.7191	6192.9784	4788.6084	4575.0756	4928.7329	4379.0997	5105.6414	6224.6485
"EID2B|126272"	75.7321	53.494	63.129	59.2237	77.6107	56.1639	51.9952	84.6315	65.6077	91.3671	71.1043	47.91	79.4107	149.2671
"EID2|163126"	159.2498	116.1446	113.4492	319.7279	293.3767	168.4917	243.8533	164.3029	256.775	154.9658	286.9211	235.3698	181.8182	429.2552
"EID3|493861"	35.7427	22.6506	32.022	58.4234	58.1065	32.1441	45.5462	39.3707	27.148	16.1236	31.0456	39.8714	52.102	61.6213
"EIF1AD|84285"	483.4115	415.4217	444.6478	434.974	379.5205	386.7891	519.1455	487.0185	484.8937	472.5115	626.4193	698.3923	401.0061	275.501
"EIF1AX|1964"	2476.8645	1155.6627	1171.0887	1752.7011	1446.5664	1119.7457	1683.9984	1847.3223	2418.0587	1683.5741	1947.3577	1703.8585	1759.6119	1698.7736
"EIF1AY|9086"	0.7078	248.6747	504.1171	0	0	428.1173	0.4031	194.9934	0	558.0562	0	112.5402	0	0
"EIF1B|10289"	623.1974	413.494	460.2013	644.2577	504.2666	512.5397	534.0588	741.533	510.1565	953.9805	698.0244	689.3891	715.7743	3251.2713
"EIF1|10209"	14312.3065	10669.8795	12155.5352	14735.4942	14264.933	12599.4348	11380.8948	13380.4542	9628.8734	13816.5939	13834.8026	16840.5145	15865.6126	14886.3296
"EIF2AK1|27102"	2819.7187	2228.0627	2267.1729	2266.1305	2427.4238	2180.0671	2181.7694	2607.0619	2426.369	2513.0265	3167.0076	2952.865	2568.0956	3885.9767
"EIF2AK2|5610"	425.7277	365.3012	388.8381	255.3021	203.1694	211.9392	329.3027	393.7069	442.2864	213.6379	234.3439	560.4502	427.9554	400.2393
"EIF2AK3|9451"	876.5814	520.4819	466.6057	604.6419	530.6786	555.9873	557.0335	604.5106	991.6567	769.4547	302.4438	829.582	613.3669	664.6724
"EIF2AK4|440275"	1270.8131	1476.6265	1030.1921	1019.6078	1218.204	941.3635	1244.6594	1253.9719	1466.747	977.7181	863.7676	1530.2251	955.0844	1607.5381
"EIF2A|83939"	2053.6141	2709.3976	2712.7173	2553.8215	1644.0471	2370.8937	2027.8114	2948.7716	2077.9544	3077.8188	2415.0441	2424.1158	2634.567	1278.4924
"EIF2B1|1967"	786.6938	982.6506	869.1674	911.1645	1026.8184	904.6273	1041.5155	897.4657	814.8175	1001.0077	1059.5549	830.8682	770.751	788.2142
"EIF2B2|8892"	535.0792	645.3012	666.0567	705.8824	843.9659	581.42	792.0193	824.9244	693.0285	471.1678	816.1978	637.6206	590.0108	750.8226
"EIF2B3|8891"	319.9151	230.8434	328.4538	346.9388	371.8001	272.6952	282.5474	330.4658	292.9723	344.8662	349.0122	344.373	285.3036	169.6081
"EIF2B4|8890"	665.3101	596.6265	590.1189	555.022	592.0358	529.1416	561.0641	536.6194	414.3843	531.1835	807.1845	511.8971	508.8034	597.6668
"EIF2B5|8893"	991.5952	1040.4819	1084.172	1046.0184	1028.8501	1024.7262	993.551	928.1562	701.7008	1005.4865	1077.5814	858.5209	818.1818	794.496
"EIF2C1|26523"	1203.2204	1453.9759	1248.8564	823.1293	834.2137	972.0947	1171.3019	1199.101	1038.4116	909.6406	869.2757	1243.0868	978.4405	598.8633
"EIF2C2|27161"	271.0785	310.3614	136.322	159.2637	139.7806	127.87	174.1233	127.4122	133.4777	124.958	108.1587	272.6688	157.3841	100.2094
"EIF2C3|192669"	181.8986	147.4699	98.8106	88.0352	89.3946	117.273	116.0822	111.2919	97.2804	92.2629	97.6433	161.7363	145.8857	68.8005
"EIF2C4|192670"	440.9449	506.988	397.0723	325.7303	275.0914	345.1077	370.4152	252.6544	312.2022	274.1014	207.3042	382.3151	302.9105	257.5531
"EIF2S1|1965"	1467.9289	1290.1205	1368.71	1529.4118	1053.6367	1146.5913	1309.5526	1473.7658	1384.5488	942.3357	1198.7592	2027.0096	1220.6252	1259.647
"EIF2S2|8894"	1086.7911	882.8916	883.806	1167.2669	1062.1698	951.9604	1068.5208	1101.4493	1007.8701	919.046	994.9601	1268.8103	1046.3529	1139.6949
"EIF2S3|1968"	4784.9244	4546.0241	4901.1894	4044.0176	3084.9248	3446.8386	3964.1274	4309.6954	3820.7062	5196.7305	4229.2064	3532.4759	4404.9587	2932.0969
"EIF3A|8661"	5140.936	4688.1928	5216.8344	5815.5262	4165.7863	3852.349	4861.3462	5398.7445	5187.1563	4602.3961	2416.0455	8204.1801	5272.7273	6929.7039
"EIF3B|8662"	2810.9351	3531.5663	3297.3468	3714.2857	3776.1073	3659.8375	2550.9875	3428.66	2647.3086	2944.799	2740.021	4791.9614	2733.0219	2297.6369
"EIF3CL|728689"	7460.3557	11265.1904	13299.3413	7603.6775	6761.9098	9163.3698	9345.4857	11957.0456	6649.5936	8811.7837	9240.1649	8623.6849	11226.4463	9368.9471
"EIF3C|8663"	290.1531	403.7253	213.0101	201.8447	258.0008	131.9322	551.7332	507.9625	343.2829	172.2047	137.0962	359.2733	366.7984	567.936
"EIF3D|8664"	2654.1626	4334.4578	3807.8683	3881.9528	3335.2296	3617.4497	3412.7368	4231.264	2870.9027	5054.3052	3574.7459	3745.0161	3292.8494	2844.7502
"EIF3E|3646"	4831.2837	7298.3133	4929.5517	4273.3093	3922.3893	5264.9241	4149.1334	6189.2583	4911.9056	7920.2777	6103.4568	5917.3633	5270.9307	2032.3063
"EIF3F|8665"	1260.5503	2454.4578	1955.1693	2154.4618	2282.4055	2232.7799	2048.7707	2442.2227	1578.3555	2527.8244	2728.5041	1827.9743	1642.4722	1553.6943
"EIF3G|8666"	1392.8904	1661.0506	1926.6331	2339.8359	2472.6656	2146.5207	1806.8642	2136.5357	1363.3922	1809.1322	2948.3016	1604.135	1850.848	2234.7831
"EIF3H|8667"	3108.5553	4263.1325	3222.3239	3072.429	3103.2101	3613.9173	2918.1782	4253.2744	2606.5866	5115.2167	3420.5196	3620.9003	3408.1926	1790.6072
"EIF3IP1|442720"	0	0	0	0.8003	0.4063	0.3532	0	0.31	0.3771	1.7915	0.5007	0	0.3593	0.2991
"EIF3I|8668"	2145.303	2610.6169	2719.1949	2893.6255	3134.9655	2621.7732	2821.9549	2834.1161	2227.6531	2621.6056	4364.4298	2785.5531	2673.4603	1206.7006
"EIF3J|8669"	1106.6089	976.8675	1084.172	1256.9028	1006.5014	908.8661	964.1274	1075.0988	1142.479	756.4662	1070.0703	1600.6431	916.2774	1184.5648
"EIF3K|27335"	1693.0019	2198.0723	2222.3239	2629.0516	2441.6904	2313.6701	2261.5881	2572.425	1918.8369	2388.9822	3729.9737	2125.7235	2328.4226	2720.012
"EIF3L|51386"	5821.4633	8264.0964	5817.0174	5644.2577	5709.0614	6547.8629	5204.3531	7216.6163	5140.0244	8571.0447	5479.0405	7385.209	5476.4642	2990.4278
"EIF3M|10480"	1470.3459	2011.0024	2128.8655	2137.455	1792.6453	1817.2059	1589.4921	2639.5877	1645.3772	2408.0573	2521.0546	2088.045	2081.1283	731.9474
"EIF4A1|1973"	7319.8124	7061.9952	9068.2891	12313.3774	10567.4238	7935.8177	8323.8089	7296.2939	8953.1442	5012.4779	8096.8521	14116.6945	7368.6669	5081.0081
"EIF4A2|1974"	8271.0785	7988.4	8446.4776	6309.7239	5303.1288	8898.1985	6633.6155	10165.0779	5396.4223	15774.7173	9783.8578	5917.0418	7700.6827	4668.262
"EIF4A3|9775"	1196.8504	973.012	1024.7027	1328.1313	1611.1337	1245.4963	1367.9968	1213.0512	1398.8769	1289.4413	1195.254	1777.8135	1097.7363	924.0203
"EIF4B|1975"	13636.1957	16873.6578	14502.8454	12759.2557	7324.9167	12982.4797	7553.5187	17340.9812	8469.7964	16562.4992	7097.8861	14949.4469	12304.2257	4681.37
"EIF4E1B|253314"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"EIF4E2|9470"	1351.8535	862.6506	1443.7328	1256.1024	1337.2613	1320.3815	1272.8738	1081.2989	1351.3679	957.1157	1382.5289	1282.9582	1114.6245	1392.761
"EIF4E3|317649"	1089.2683	789.3976	1254.3458	832.7331	909.7928	578.9474	1135.0262	1149.5001	815.9487	1081.1779	801.6765	1322.508	1240.0287	851.032
"EIF4EBP1|1978"	475.9798	920.9639	567.2461	1064.8259	1464.4453	683.8573	929.867	408.8972	995.4273	261.5609	867.2727	342.7653	513.834	927.3108
"EIF4EBP2|1979"	11293.285	7666.506	7989.021	4891.9568	4543.6814	6269.8693	5277.3075	7615.5933	6938.9575	4697.7942	5582.1919	7465.2733	6125.4042	3172.3003
"EIF4EBP3|8637"	558.7579	589.0795	657.1638	563.6455	354.7501	498.6189	471.4672	630.7556	345.7752	613.3378	740.1311	391.4405	363.6867	649.2372
"EIF4ENIF1|56478"	663.1868	615.9036	743.8243	689.0756	590.4104	653.8326	589.6816	660.9316	811.047	672.713	620.9112	646.3023	528.5663	1471.1337
"EIF4E|1977"	486.9504	248.1928	301.9213	337.3349	292.564	322.8541	342.2007	512.749	565.9607	259.3215	325.4776	656.9132	443.7657	505.8331
"EIF4G1|1981"	6020.3486	4739.759	5219.5791	7563.8255	6646.4852	6532.674	7806.9327	5227.0015	6932.1705	5065.5022	4369.4121	8477.8135	6026.59	6101.7051
"EIF4G2|1982"	15983.0134	16768.6747	12190.3019	13149.2597	12251.5238	14859.7669	19185.006	17423.5449	16940.7391	13477.5501	10640.1144	21271.7042	17178.5843	24721.5076
"EIF4G3|8672"	1569.1409	1915.6627	1161.0247	1307.3229	1478.2609	1095.7259	2363.9661	1736.9604	2213.6945	1146.5681	1366.5053	2255.3055	2043.4783	1177.3856
"EIF4H|7458"	5953.8176	5500.7229	5684.355	6120.048	4990.2479	5671.8474	4864.9738	7011.0827	5179.9923	5417.0866	4034.4205	7076.8489	5331.6565	4005.9827
"EIF5A2|56648"	206.6708	146.506	105.215	44.4178	65.0142	169.9046	204.7561	81.8414	57.3125	29.1121	56.583	123.1511	204.4556	322.764
"EIF5AL1|143244"	676.2806	621.2048	866.4227	1110.4442	1043.4783	790.8866	1003.2245	845.6948	838.5721	540.589	1449.6273	913.5048	857.3482	807.6578
"EIF5A|1984"	2883.4823	2912.2892	4401.6468	5398.9596	4934.5794	3716.7079	4097.5413	3285.7475	3727.1964	2466.913	7429.9034	3728.6174	3737.3338	3599.4616
"EIF5B|9669"	2314.0759	1777.8313	2229.6432	1930.3721	1579.4393	1297.4214	2203.1439	2541.1145	2479.8959	1921.8453	2736.0151	2760.7717	2664.0316	2049.3569
"EIF5|1983"	3054.7642	4025.5422	2660.5672	4703.0812	3262.4949	3462.0276	2917.372	3200.496	4438.7006	4300.9741	2420.5522	5188.4244	2331.2972	4291.6542
"EIF6|3692"	1407.414	1598.0723	2208.6002	2682.2729	2743.6002	2362.4161	1908.9077	1849.1824	1581.3719	1676.8559	2943.8201	1535.6913	1932.0877	2189.9491
"ELAC1|55520"	100.7485	92.5976	90.9973	143.0212	106.0544	107.817	145.2076	124.7059	134.0509	101.9326	120.1764	127.9421	95.3036	190.0389
"ELAC2|60528"	881.182	826.0241	996.3403	1140.8563	1221.861	1112.681	1121.322	1106.7194	1139.4626	1173.4408	1193.2511	1025.7235	1164.5706	1971.2833
"ELANE|1991"	0	2.4096	1.8298	1.2005	0.4063	0.7065	4.4337	0.62	0.7541	0.8958	2.5037	11.8971	0.3593	0
"ELAVL1|1994"	1220.5609	976.8675	1101.5554	1446.5786	1582.69	1346.5207	1675.9371	1416.4148	1464.8617	1346.7697	1558.7875	1298.0707	1414.6604	1991.026
"ELAVL2|1993"	12.74	24.5783	13.7237	42.417	17.0662	7.4179	60.4595	67.8912	61.4601	4.4788	23.0338	50.4823	25.512	0.5983
"ELAVL3|1995"	14.5094	6.2651	6.4044	1.2005	10.9711	3.1791	8.8674	20.7704	3.3935	13.8842	20.5301	4.5016	12.217	0
"ELAVL4|1996"	5.6622	4.8193	2.7447	0.4002	1.6254	1.0597	3.2245	0.93	1.1312	0.8958	1.0015	0.6431	1.078	2.0939
"ELF1|1997"	1724.8518	1670.3614	1687.0997	1651.4606	806.989	1534.0869	1714.6312	1882.973	1674.1277	1665.6589	865.2698	1692.6045	2111.0313	1316.1831
"ELF2|1998"	724.0556	802.8916	714.5471	551.4206	464.039	652.7729	879.8871	923.1962	813.6864	987.1235	774.136	768.1672	793.0291	433.443
"ELF3|1999"	1183.0487	503.6145	431.839	919.5678	2540.8371	1206.994	657.7993	156.8627	1375.1224	2534.5426	1980.4062	1122.1865	757.456	1790.009
"ELF4|2000"	736.4417	933.012	860.9332	785.114	600.9752	737.5486	937.1221	642.3312	814.8175	878.737	590.8671	858.8424	674.0927	393.3593
"ELF5|2001"	1.4156	0.9639	0.9149	2.0008	0.4063	2.1194	0.4031	0.31	0	0	1.0015	0	0	49.656
"ELFN1|392617"	45.2977	136.8675	96.0659	157.2629	212.1089	257.5062	524.3853	78.7414	176.8392	101.2205	155.2278	191.9614	102.4075	13.7601
"ELFN2|114794"	2.4772	503.6145	10.064	42.417	73.5473	271.9887	14.5103	9.3002	19.984	870.6752	1.5022	1.9293	2.5153	0.8974
"ELK1|2002"	546.0497	677.1084	608.4172	692.6771	701.7473	666.9022	647.7227	599.8605	500.353	676.7439	642.9435	598.7138	539.7054	466.0485
"ELK3|2004"	684.0662	971.0843	659.6523	786.3145	605.8513	740.7277	2575.1713	1874.9128	1616.8152	542.8284	415.1092	1833.7621	1298.2393	246.1861
"ELK4|2005"	383.615	277.5904	158.28	158.4634	122.7143	107.0293	197.0496	178.2531	208.1348	141.9774	103.6521	341.1576	211.2828	122.9435
"ELL2|22936"	1441.0334	1583.1325	831.656	1039.6158	701.7473	1339.1028	442.5635	1260.7921	815.5716	723.3233	412.1048	1541.8006	1642.8315	206.1023
"ELL3|80237"	42.1127	59.9422	46.2031	59.2237	59.423	37.81	64.0871	42.4118	71.5727	42.6156	112.7004	31.9775	42.041	69.9462
"ELL|8178"	490.1354	488.1928	526.075	835.5342	624.1365	540.7983	434.9053	358.6763	629.3061	465.7933	460.1753	449.8392	625.9432	409.5124
"ELMO1|9844"	687.9589	1192.7711	934.1263	970.3882	762.2918	826.2098	2530.0282	1729.2103	2200.1205	614.041	1062.0586	1399.6785	1321.5954	181.8726
"ELMO2|63916"	609.3957	685.7831	598.3532	665.066	694.0268	542.5645	909.7138	727.2727	946.0329	569.701	989.9528	824.1158	647.1434	1256.6557
"ELMO3|79767"	551.0042	684.3373	823.4218	335.3341	291.7513	868.5977	302.7005	452.2979	179.8556	1050.2743	805.6823	21.865	272.0086	107.3886
"ELMOD1|55531"	214.4563	2.4096	0	91.6367	6.5014	1.0597	25.796	1.55	164.3963	3.583	0	0	2.5153	633.5627
"ELMOD2|255520"	192.8691	202.4096	150.0457	168.4674	151.9707	169.9046	153.164	194.9934	250.365	129.4368	102.6506	215.4341	180.7402	395.1541
"ELMOD3|84173"	291.604	353.7349	334.8582	258.9036	337.6676	278.3469	226.5216	161.2028	234.5287	295.1517	393.0768	205.1447	176.069	309.0039
"ELN|2006"	253.3841	1110.8434	326.624	441.3766	440.4714	1928.6471	1596.1306	2225.5289	857.4248	482.8127	904.3271	844.6945	1775.4222	131.6183
"ELOF1|84337"	458.9932	396.6265	763.0375	599.8399	700.5282	612.1512	669.8912	572.89	472.4509	663.3076	869.2757	518.328	605.4617	693.3892
"ELOVL1|64834"	1200.3893	965.7831	1117.1089	1294.918	1450.6298	1523.4899	1505.0383	1053.7084	1399.6311	1335.5727	1608.861	1115.7556	1145.1671	766.0784
"ELOVL2|54898"	65.1155	47.7108	62.2141	7.2029	67.0459	23.3133	147.1181	30.0705	22.2463	13.8842	100.6477	119.2926	73.6615	6.2818
"ELOVL3|83401"	0.7078	2.4096	0	1.2005	2.0317	1.7662	5.6429	0.62	1.5082	12.9885	5.0073	0.9646	3.5932	2.3931
"ELOVL4|6785"	19.4639	27.9518	21.043	18.4074	16.2536	17.3084	32.2451	23.5604	18.4757	34.4866	34.5507	14.4695	35.9324	247.3826
"ELOVL5|60481"	1395.0279	1714.6988	1260.7502	1699.0796	1406.3389	1181.2081	1942.765	1613.5782	1959.5589	657.0373	1498.6993	2226.6881	1601.1498	1308.7048
"ELOVL6|79071"	188.9764	129.1566	278.1336	155.6623	557.497	87.6016	113.2608	141.9825	438.8929	286.642	170.2498	169.4534	86.5972	313.79
"ELOVL7|79993"	1450.2345	840.9639	1828.9113	1486.5946	1063.7952	1846.6973	942.362	855.615	1711.8332	1201.2093	1206.2702	1145.0161	1049.5868	208.1962
"ELP2P|100131454"	7.0778	7.2289	7.3193	13.2053	11.7838	7.4179	6.0459	8.3701	6.787	21.4982	13.0191	9.0032	5.7492	14.0592
"ELP2|55250"	1379.4568	1740.241	1156.4501	1234.4938	793.1735	1155.4221	807.7388	1341.0835	920.3932	1567.5736	806.6838	1354.0193	1154.1502	988.9321
"ELP3|55140"	779.9699	900.7229	903.9341	784.3137	655.4246	864.7121	653.7686	932.8063	689.635	842.4589	685.0052	813.5048	773.9849	755.3096
"ELP4|26610"	378.6605	345.5422	292.7722	282.513	325.4774	293.8891	284.5627	361.1563	310.3169	317.5456	399.0857	274.9196	307.5817	240.8017
"ELSPBP1|64100"	0	0.4819	0	0	1.219	0	0	0	0	0	0	0	0	2.0939
"ELTD1|64123"	2130.7617	2802.8916	1628.5453	2344.938	2060.9508	1693.0413	7112.8577	8256.0645	6425.4075	1996.6409	2469.6242	5032.4759	5551.5631	86.1502
"EMB|133418"	461.1165	878.0723	599.2681	628.6515	293.3767	405.8637	337.767	272.4948	183.6262	80.6181	314.4615	213.1833	424.0029	219.5633
"EMCN|51705"	1619.0392	1011.5663	2266.2397	2922.7691	2876.0666	1619.9223	2989.1173	2836.5496	2585.8485	1363.3412	3170.1522	3498.0707	5004.3119	204.0084
"EMD|2010"	957.268	681.4458	737.4199	1279.3117	1250.3048	880.6076	792.4224	802.604	774.4726	1670.5856	1348.4789	931.8328	859.8635	537.242
"EME1|146956"	13.3168	27.8458	40.0823	9.3637	27.5579	25.5034	17.1786	10.1279	7.3262	20.4367	10.9511	22.164	5.106	12.6982
"EME2|197342"	21.2333	27.4699	10.979	34.0136	57.7001	38.5023	9.2705	6.8201	3.0164	29.56	20.0294	9.6463	7.9051	42.4768
"EMG1|10436"	352.4728	358.5542	361.3907	451.7807	397.7326	407.8135	371.6243	434.9283	282.4148	404.7654	533.2826	323.7942	365.0737	222.5546
"EMID1|129080"	133.062	101.6867	278.1336	460.1841	392.117	304.486	204.3531	159.6528	84.0834	323.368	252.3704	79.0997	287.1003	39.7846
"EMID2|136227"	0	2.4096	1.8298	0	0	0	0	0.31	0	85.9926	1.0015	0	0.3593	0.2991
"EMILIN1|11117"	221.5341	341.6867	200.366	741.8968	494.1081	691.6284	715.0343	736.8829	241.6928	428.1715	476.6996	285.8521	466.0438	451.6901
"EMILIN2|84034"	411.2183	450.6024	687.0997	336.5346	302.7225	524.5496	461.9105	262.5746	307.6775	307.2444	170.2498	303.537	397.7722	236.913
"EMILIN3|90187"	4.1794	5.4265	15.9652	8.6275	12.3446	8.7602	4.2563	16.7992	7.8051	8.7918	2.709	3.1222	6.2954	1.6183
"EML1|2009"	671.3262	1470.3614	774.9314	989.996	985.3718	831.5083	1517.1302	908.3159	1460.337	736.3117	615.9038	1279.0997	1166.7266	540.8316
"EML2|24139"	291.2501	478.7325	522.4154	598.0192	718.5941	424.1258	425.53	323.5744	364.1416	965.1775	490.1343	315.4051	399.0119	859.4735
"EML3|256364"	701.0528	1209.1566	1057.6395	1072.429	1672.0845	1126.8103	1653.7686	1183.9107	953.197	1102.2282	1302.4113	984.5659	1096.6583	908.4655
"EML4|27436"	2327.8776	2039.5181	2277.2187	1647.459	1975.6197	1752.3843	1373.6397	1551.8872	1797.4249	903.8182	1574.3103	2155.9486	1652.8926	3859.4077
"EML5|161436"	81.0404	87.2289	31.107	40.4162	39.4149	34.6167	30.6328	56.111	35.0662	151.8307	46.0676	32.4759	47.4308	57.4334
"EML6|400954"	225.7808	26.0241	10.064	51.2205	34.9451	163.1932	60.0564	10.2302	85.9687	9.8533	7.511	110.9325	7.9051	251.2713
"EMP1|2012"	3158.0996	2988.4337	1557.1821	2916.3665	2261.6822	2430.5899	8424.8287	4999.4575	6205.9611	5695.2189	1874.2505	5676.8489	9658.2824	86.4493
"EMP2|2013"	865.9648	1308.4337	875.5718	869.948	1264.933	817.7323	2246.2717	1918.6236	1993.4939	1016.2356	2385	1614.791	2054.258	172.5995
"EMP3|2014"	399.8938	728.6747	959.7438	874.3497	1002.0317	799.7174	894.8005	520.1891	709.996	212.7421	1452.131	562.701	694.9335	1508.2261
"EMR1|2015"	8.8472	113.7349	59.4694	192.8772	88.5819	19.4278	90.6892	55.491	37.7056	7.6139	17.5257	54.6624	16.1696	49.3569
"EMR2|30817"	296.2045	778.3133	488.5636	246.4986	310.8492	123.278	385.3285	253.2744	193.8067	96.2938	115.169	200.6431	169.2418	148.0706
"EMR3|84658"	13.0939	5.7831	16.4684	6.4026	1.219	3.1791	14.5103	1.24	13.9511	1.7915	1.0015	5.7878	7.1865	15.2558
"EMR4P|326342"	52.3755	57.3494	28.3623	22.0088	32.5071	24.7262	3.2245	0.31	0.7541	4.9267	2.5037	1.2862	3.5932	21.8367
"EMX1|2016"	192.1614	170.1205	140.8966	214.4858	233.2385	308.0184	212.0113	38.7507	74.657	10.7491	348.5114	143.4084	29.8239	4.7861
"EMX2OS|196047"	4261.8774	2057.3494	3805.1235	2136.8547	2097.9277	2999.6468	1082.628	2923.3512	2748.3596	3097.9734	2393.5125	2627.3312	2940.3521	4869.2791
"EMX2|2018"	1476.0683	1391.8072	2087.8317	1250.9004	1076.3917	1795.8319	782.7489	1597.148	1225.4313	2389.878	2379.4919	1007.074	1427.5961	2433.7421
"EN1|2019"	1.4156	13.494	9.1491	1.6006	1.219	1.7662	0.4031	0	2.2623	0.4479	1.5022	1.6077	1.7966	0
"EN2|2020"	2.8311	2.8916	0.9149	0	2.8444	0.7065	1.2092	0	0	0.8958	1.0015	4.5016	0	0
"ENAH|55740"	1090.33	1319.0361	679.7804	526.2105	788.7038	1624.5143	963.7243	1033.5581	1398.8769	512.3726	579.3502	1112.8617	864.894	1634.4601
