"TCGA-A3-3320-01A-02R-1325-07"	"TCGA-A3-3323-01A-02R-1325-07"	"TCGA-A3-3326-01A-01R-0864-07"	"TCGA-A3-A6NJ-01A-12R-A33J-07"	"TCGA-A3-A8OU-01A-11R-A37O-07"	"TCGA-AS-3778-01A-01R-A32Z-07"	"TCGA-B0-5690-01A-11R-1541-07"	"TCGA-B4-5834-01A-11R-1672-07"	"TCGA-B4-5844-01A-11R-1672-07"	"TCGA-B8-A54K-01A-11R-A33J-07"	"TCGA-BP-4165-01A-02R-1289-07"	"TCGA-CW-6093-01A-11R-1672-07"	"TCGA-EU-5904-01A-11R-1672-07"	"TCGA-T7-A92I-01A-11R-A37O-07"
"AAGAB|79719"	422.1888	396.6265	427.2644	612.6451	503.0475	411.5154	567.5131	434.0076	518.8288	435.3376	378.5555	549.8392	434.064	1351.4807
"AAK1|22848"	1157.5688	1372.0482	911.2534	878.7515	957.3344	838.5729	758.9682	770.9835	801.9976	919.9418	627.9215	863.6656	821.4157	1834.2806
"AAMP|14"	2091.834	1147.9518	1950.5947	2587.0348	2459.1629	2310.8442	1974.607	2173.448	1709.5709	2315.5302	2092.0701	1888.1029	2210.5641	2318.277
"AANAT|15"	0.7078	0.4819	0	0.8003	2.0317	0.3532	0.4031	0.62	0	4.4788	0	0.3215	0	1.4957
"AARS2|57505"	480.1203	663.5855	618.4263	457.7391	654.1528	589.4984	435.6872	417.878	355.1677	528.4425	522.2364	485.5177	467.8297	782.761
"AARSD1|80755"	403.7866	378.7952	519.6706	528.2113	546.5258	427.0576	526.4006	541.5795	401.1873	554.0253	720.5574	418.9711	452.3895	723.0033
"AARS|16"	2084.4024	2059.759	1956.9991	2665.4662	3130.0284	2231.7202	2668.682	3129.8148	2656.358	1860.4859	2433.5713	2608.3601	2383.3992	6816.6318
"AASDHPPT|60496"	925.3614	940.7229	895.6999	966.7867	945.9569	1158.6012	814.994	1053.7084	1161.3318	875.0913	737.0817	795.4984	1235.7169	1351.7798
"AASDH|132949"	351.0572	305.5422	223.2388	216.0864	186.1032	237.0187	176.1387	226.924	194.9378	254.8427	140.2058	275.8842	276.6798	249.7757
"AASS|10157"	508.5376	656.3855	403.4767	468.9876	342.95	433.4158	387.7469	400.527	410.9908	396.3722	511.751	797.7492	347.4668	394.8549
"AATF|26574"	1169.601	1163.8554	1236.9625	1114.4458	863.8765	1055.4574	909.3108	1453.6154	915.8685	1288.0976	1192.2496	1121.865	1209.4862	1163.6255
"AATK|9625"	117.4909	118.0723	131.7475	240.096	216.1723	238.4316	318.42	162.7528	168.5439	238.4369	195.7873	153.3762	317.3769	8.974
"ABAT|18"	232.1508	342.6506	480.3294	959.5838	395.7741	465.2066	303.9097	233.1241	376.6787	134.8113	436.14	414.791	270.9307	354.472
"ABCA10|10349"	32.5577	49.6386	24.7027	26.8107	21.536	18.7496	9.2825	3.1001	4.9017	47.0272	19.0279	9.3248	8.2645	28.1185
"ABCA11P|79963"	73.2124	85.547	60.6862	80.2921	59.7196	74.1116	59.867	76.5558	66.573	61.6773	64.5698	59.9936	41.714	93.7092
"ABCA12|26154"	31.1422	374.9398	251.6011	28.0112	93.8643	91.1339	168.0774	66.0312	75.0341	8.5097	7.511	387.4598	35.5731	316.1831
"ABCA13|154664"	0.3539	1.4458	1.8298	0.4002	9.3458	0.7065	0.4031	0.31	0	16.1236	0.5007	2.5723	0.3593	0
"ABCA17P|650655"	13.8016	65.0602	16.4684	9.2037	23.5677	22.6069	10.0766	12.0902	2.6394	28.2163	22.0323	22.8296	15.8103	8.974
